Ratio Definition,units,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,3.28,3.12,1.93
Quick Ratio (Acid Test),ratio,1.87,1.39,0.96
Debt Ratio,percentage,0.39,0.5,0.48
Equity Ratio,percentage,0.61,0.5,0.52
Quasi Equity Ratio,percentage,0.61,0.61,0.64
Capitalisation Ratio,percentage,1.65,1.99,1.91
Gross Profit Margin,percentage,0.22,0.19,0.22
Net Profit/Loss (-) Margin,percentage,0.05,0.02,0.04
Return on Total Assets,percentage,0.16,0.07,0.08
Interest Cover,times,47.02,4192.66,17.2
Receivables Turnover,times,7.57,11.59,8.79
Inventory Turnover,times,0,0,0
Creditors Turnover,times,36.7,22.19,12.77
Average Receivables Period,days,48,32,42
Average Creditors Period,days,10,16,29
Inventory Turnover,days,37,45,41
Operating Cycle,days,75,60,54
Dividend Ratio,percentage,0,0,-0.12
Other Operating Expenses/Revenue,percentage,0.08,0.05,0.06
Wages and Salaries/Revenue,percentage,0.06,0.07,0.07
Other Income/Total Income,percentage,0.01,0.02,0.02
Total Income/Total Expenses,percentage,1.28,1.13,1.2
Total Expenses/Total Income,percentage,0.78,0.89,0.84
Berry Ratio (Australian Taxation Office),percentage,1.2,1,1.08
EBITDA Margin,percentage,0.26,0.17,0.25
Return on Equity,percentage,43.32,0.62,0.67
Asset Turnover Ratio,percentage,3,2.74,1.92
Implied Interest Rate,percentage,0.01,0,0.01
Net Profit/Loss (-) Margin,percentage,0.05,0.02,0.04
Administrative Expense/Revenue,percentage,0,0.01,0.01
Amortisation/Revenue,percentage,0,0,0
Bad and Doubtful Debt/Revenue,percentage,0,0.01,0
Depreciation and Amortisation/Net Revenue,percentage,0.01,0.01,0.02
Distribution/Revenue,percentage,0,0,0
Finance/Revenue,percentage,0,0,0
Interest/Revenue,percentage,0,0,0
Marketing/Revenue,percentage,0.01,0.01,0.01
Occupancy/Revenue,percentage,0.01,0.02,0.02
Debt Service Cover,ratio,54.59,6404.07,24.49
Total Expenses/Revenue,ratio,0.18,0.19,0.2
Total Other Income/Revenue,ratio,0.01,0.02,0.02
Total Other Income/Net Profit/Loss Before Tax,ratio,0.29,0.98,0.59
Total Other Non Operating Expenses/Revenue,ratio,0,0,0
Cost of Sales/Revenue,percentage,0.78,0.81,0.78
Labour/Revenue,percentage,0.06,0.07,0.07
EBITDA/Net Revenue,ratio,0.06,0.04,0.06
Operating Profit Before Tax/Total Income,ratio,0.22,0.11,0.16
